from_name,n_regions,avg_time_sec,avg_time_h_m,avg_top_20_h_m,avg_top_19_h_m,avg_top_18_h_m,avg_top_17_h_m,avg_top_16_h_m,avg_top_15_h_m,avg_top_14_h_m,avg_top_13_h_m,avg_top_12_h_m,avg_top_11_h_m,avg_top_10_h_m,avg_top_9_h_m,avg_top_8_h_m,avg_top_7_h_m,avg_top_6_h_m,avg_top_5_h_m,avg_top_4_h_m,avg_top_3_h_m
Danforth,15,114926.7,31h 55m,,,,,,31h 55m,29h 02m,26h 33m,24h 03m,22h 06m,20h 16m,18h 50m,17h 14m,15h 46m,13h 53m,11h 40m,9h 32m,6h 12m
Eringate-Centennial-West Deane,15,114765.1,31h 53m,,,,,,31h 53m,29h 00m,26h 32m,24h 03m,22h 08m,20h 18m,18h 55m,17h 17m,15h 49m,13h 58m,11h 44m,9h 35m,6h 11m
Junction Area,15,114601.5,31h 50m,,,,,,31h 50m,28h 57m,26h 29m,24h 00m,22h 05m,20h 16m,18h 52m,17h 15m,15h 46m,13h 56m,11h 42m,9h 32m,6h 09m
University,15,114851.5,31h 54m,,,,,,31h 54m,29h 01m,26h 33m,24h 03m,22h 07m,20h 18m,18h 53m,17h 16m,15h 48m,13h 57m,11h 43m,9h 34m,6h 11m
Dovercourt-Wallace Emerson-Junction,15,114683.7,31h 51m,,,,,,31h 51m,28h 58m,26h 30m,24h 01m,22h 06m,20h 16m,18h 52m,17h 15m,15h 46m,13h 56m,11h 42m,9h 33m,6h 10m
Edenbridge-Humber Valley,15,114585.5,31h 50m,,,,,,31h 50m,28h 57m,26h 29m,24h 00m,22h 05m,20h 16m,18h 52m,17h 15m,15h 46m,13h 56m,11h 42m,9h 32m,6h 09m
Newtonbrook East,15,114453.0,31h 48m,,,,,,31h 48m,28h 54m,26h 26m,23h 56m,22h 00m,20h 10m,18h 46m,17h 09m,15h 41m,13h 49m,11h 36m,9h 28m,6h 06m
Yonge-St.Clair,15,114733.0,31h 52m,,,,,,31h 52m,28h 59m,26h 31m,24h 01m,22h 06m,20h 16m,18h 52m,17h 15m,15h 46m,13h 55m,11h 41m,9h 33m,6h 10m
Newtonbrook West,15,114453.5,31h 48m,,,,,,31h 48m,28h 55m,26h 26m,23h 57m,22h 01m,20h 12m,18h 48m,17h 11m,15h 42m,13h 51m,11h 38m,9h 29m,6h 07m
L'Amoreaux,15,114364.7,31h 46m,,,,,,31h 46m,28h 53m,26h 24m,23h 54m,21h 58m,20h 07m,18h 42m,17h 05m,15h 38m,13h 45m,11h 33m,9h 25m,6h 05m
Yorkdale-Glen Park,15,114312.2,31h 45m,,,,,,31h 45m,28h 52m,26h 24m,23h 55m,21h 59m,20h 10m,18h 46m,17h 09m,15h 40m,13h 50m,11h 36m,9h 27m,6h 05m
Taylor-Massey,15,114930.5,31h 56m,,,,,,31h 56m,29h 02m,26h 33m,24h 03m,22h 06m,20h 15m,18h 50m,17h 13m,15h 46m,13h 53m,11h 40m,9h 32m,6h 11m
Lambton Baby Point,15,114773.5,31h 53m,,,,,,31h 53m,29h 00m,26h 32m,24h 03m,22h 08m,20h 19m,18h 55m,17h 18m,15h 49m,13h 59m,11h 44m,9h 35m,6h 11m
Lawrence Park North,15,114368.8,31h 46m,,,,,,31h 46m,28h 53m,26h 24m,23h 55m,21h 59m,20h 09m,18h 45m,17h 08m,15h 40m,13h 48m,11h 35m,9h 27m,6h 05m
Palmerston-Little Italy,15,114865.5,31h 54m,,,,,,31h 54m,29h 01m,26h 33m,24h 04m,22h 08m,20h 19m,18h 54m,17h 17m,15h 49m,13h 58m,11h 44m,9h 35m,6h 12m
